"bill_id","sponsor_party","session","num_cosponsors","num_d_cosponsors","num_r_cosponsors","title_word_count","originating_committee","day.of.week.introduced","num_amendments","status","is_sponsor_in_leadership","num_originating_committee_cosponsors","num_originating_committee_cosponsors_r","num_originating_committee_cosponsors_d"
"1","HB-503-2009-2010","Republican","2009-2010",32,0,32,27,"",3,0,"committee:referred",0,0,0,0
"2","HB-2295-2009-2010","Democratic","2009-2010",0,0,0,50,"PAC000008",5,0,"governor:signed",0,0,0,0
"3","HB-2661-2009-2010","Democratic","2009-2010",9,6,3,20,"PAC000004",1,0,"committee:referred",0,3,1,2
"4","HB-2060-2009-2010","Democratic","2009-2010",30,24,6,25,"PAC000017",1,1,"committee:referred",0,3,1,2
"5","HB-1044-2009-2010","Democratic","2009-2010",4,4,0,29,"PAC000004",1,0,"committee:referred",0,0,0,0
"6","HB-1816-2009-2010","Democratic","2009-2010",0,0,0,30,"PAC000012",3,0,"committee:referred",0,0,0,0
"7","HB-1196-2009-2010","Republican","2009-2010",34,14,20,32,"",5,2,"committee:referred",0,0,0,0
"8","HB-1086-2009-2010","Democratic","2009-2010",4,3,1,25,"PAC000004",2,0,"committee:referred",0,0,0,0
"9","HB-303-2009-2010","Republican","2009-2010",9,2,7,20,"",1,0,"committee:referred",0,0,0,0
"10","HB-894-2009-2010","Republican","2009-2010",61,22,39,46,"",4,1,"amendment:passed",0,0,0,0
"11","HB-1801-2009-2010","Democratic","2009-2010",30,20,10,28,"PAC000001",2,1,"governor:signed",0,1,1,0
"12","HB-204-2009-2010","Republican","2009-2010",19,2,17,48,"PAC000129",1,0,"committee:referred",0,1,1,0
"13","HB-1981-2009-2010","Republican","2009-2010",47,13,34,23,"PAC000004",1,0,"committee:referred",0,2,2,0
"14","HB-1593-2009-2010","Democratic","2009-2010",15,14,1,29,"PAC000129",2,1,"bill:passed",0,2,0,2
"15","HB-1389-2009-2010","Republican","2009-2010",8,0,8,27,"PAC000016",3,0,"committee:referred",0,1,1,0
"16","HB-1514-2009-2010","Democratic","2009-2010",18,11,7,31,"PAC000017",2,0,"committee:referred",0,1,1,0
"17","HB-1798-2009-2010","Democratic","2009-2010",27,21,6,57,"PAC000010",2,1,"committee:referred",0,1,0,1
"18","HB-705-2009-2010","Democratic","2009-2010",20,18,2,33,"PAC000017",2,1,"committee:referred",0,1,0,1
"19","HB-2186-2009-2010","Republican","2009-2010",23,11,12,23,"",2,0,"committee:referred",0,0,0,0
"20","HB-1214-2009-2010","Democratic","2009-2010",7,7,0,32,"PAC000246",2,0,"committee:referred",0,0,0,0
"21","HB-2477-2009-2010","Democratic","2009-2010",4,2,2,92,"PAC000007",4,3,"governor:received",0,1,0,1
"22","HB-166-2009-2010","Republican","2009-2010",10,3,7,20,"PAC000012",1,0,"committee:referred",0,1,1,0
"23","HB-2121-2009-2010","Democratic","2009-2010",22,17,5,30,"PAC000141",5,0,"committee:referred",0,3,1,2
"24","HB-2261-2009-2010","Republican","2009-2010",20,8,12,15,"PAC000001",5,0,"committee:referred",0,3,3,0
"25","HB-2182-2009-2010","Republican","2009-2010",17,8,9,18,"PAC000012",4,0,"committee:referred",0,1,1,0
"26","HB-801-2009-2010","Republican","2009-2010",19,4,15,29,"PAC000010",1,0,"committee:referred",0,0,0,0
"27","HB-229-2009-2010","Republican","2009-2010",53,9,44,31,"PAC000012",3,0,"committee:referred",0,2,2,0
"28","HB-1278-2009-2010","","2009-2010",20,11,9,24,"PAC000017",4,0,"committee:referred",0,0,0,0
"29","HB-737-2009-2010","Republican","2009-2010",26,5,21,54,"PAC000001",4,0,"committee:referred",0,2,2,0
"30","HB-381-2009-2010","Democratic","2009-2010",39,32,7,23,"PAC000010",4,0,"committee:referred",0,1,1,0
"31","HB-2369-2009-2010","Democratic","2009-2010",78,28,50,19,"PAC000001",3,0,"committee:referred",0,5,4,1
"32","HB-2278-2009-2010","Democratic","2009-2010",14,14,0,11,"",5,0,"committee:referred",0,0,0,0
"33","HB-2190-2009-2010","Republican","2009-2010",10,2,8,23,"",2,0,"committee:referred",0,0,0,0
"34","HB-1932-2009-2010","Democratic","2009-2010",14,12,2,27,"PAC000141",4,0,"committee:referred",0,2,0,2
"35","HB-2313-2009-2010","Democratic","2009-2010",10,8,2,22,"PAC000007",5,0,"committee:referred",0,0,0,0
"36","HB-869-2009-2010","Republican","2009-2010",27,8,19,38,"PAC000017",3,0,"committee:referred",0,4,3,1
"37","HB-732-2009-2010","Democratic","2009-2010",2,2,0,26,"PAC000004",4,0,"committee:referred",0,0,0,0
"38","HB-1897-2009-2010","","2009-2010",1,1,0,27,"PAC000001",4,0,"bill:reading:2",0,0,0,0
"39","HB-2736-2009-2010","Democratic","2009-2010",7,4,3,20,"PAC000001",5,0,"committee:referred",0,1,0,1
"40","HB-455-2009-2010","Democratic","2009-2010",10,9,1,38,"PAC000141",5,0,"committee:referred",0,0,0,0
"41","HB-574-2009-2010","Republican","2009-2010",7,4,3,32,"",1,0,"committee:referred",0,0,0,0
"42","HB-179-2009-2010","Democratic","2009-2010",33,16,17,92,"PAC000005",1,0,"committee:referred",0,3,2,1
"43","HB-810-2009-2010","Democratic","2009-2010",32,23,9,27,"PAC000005",1,0,"committee:referred",0,3,1,2
"44","HB-1649-2009-2010","Democratic","2009-2010",38,27,11,18,"PAC000190",3,0,"committee:referred",0,1,1,0
"45","HB-1689-2009-2010","Democratic","2009-2010",0,0,0,14,"PAC000008",5,1,"committee:referred",0,0,0,0
"46","HB-808-2009-2010","Republican","2009-2010",10,3,7,26,"PAC000010",1,0,"committee:referred",0,0,0,0
"47","HB-1238-2009-2010","Republican","2009-2010",15,4,11,118,"PAC000005",3,0,"committee:referred",0,2,1,1
"48","HB-1920-2009-2010","Republican","2009-2010",21,1,20,49,"PAC000017",1,0,"committee:referred",0,2,2,0
"49","HB-587-2009-2010","Democratic","2009-2010",10,5,5,62,"PAC000229",2,0,"committee:referred",0,3,1,2
"50","HB-1720-2009-2010","Democratic","2009-2010",47,16,31,25,"PAC000004",2,2,"governor:signed",0,5,3,2
"51","HB-872-2009-2010","Republican","2009-2010",21,8,13,49,"PAC000005",3,1,"committee:referred",0,2,2,0
"52","HB-1048-2009-2010","Republican","2009-2010",35,0,35,21,"",1,0,"committee:referred",0,0,0,0
"53","HB-998-2009-2010","Republican","2009-2010",27,11,16,24,"PAC000005",3,0,"committee:referred",0,3,1,2
"54","HB-884-2009-2010","Democratic","2009-2010",13,9,4,26,"PAC000015",4,0,"committee:referred",0,2,0,2
"55","HB-2249-2009-2010","Republican","2009-2010",13,7,6,29,"PAC000040",2,0,"committee:referred",0,1,1,0
"56","HB-1446-2009-2010","Republican","2009-2010",26,5,21,34,"PAC000017",2,0,"committee:referred",0,0,0,0
"57","HB-2204-2009-2010","Republican","2009-2010",61,28,33,20,"PAC000005",2,0,"committee:referred",0,6,4,2
"58","HB-2589-2009-2010","Democratic","2009-2010",0,0,0,31,"PAC000012",4,0,"committee:referred",0,0,0,0
"59","HB-2549-2009-2010","Republican","2009-2010",31,13,18,38,"",4,0,"committee:referred",0,0,0,0
"60","HB-2764-2009-2010","Democratic","2009-2010",2,2,0,29,"PAC000246",2,0,"committee:referred",0,0,0,0
"61","HB-1279-2009-2010","Republican","2009-2010",41,8,33,60,"PAC000012",1,0,"committee:referred",0,1,1,0
"62","HB-220-2009-2010","Republican","2009-2010",18,11,7,28,"PAC000129",2,0,"committee:referred",0,2,1,1
"63","HB-2188-2009-2010","Democratic","2009-2010",18,17,1,52,"PAC000129",2,0,"committee:referred",0,4,0,4
