Make/Model,Continent,MPG_City,Horsepower,Weight,Seating,Length,MPG_Hwy,Origin,Transmission,EPA_Class,Width,Displacement,Cylinders,Make,Model,Turndiam
Acura_RL,As,18,225,3.898,5,196.6,24,3,automatic,midsize,71.6,3.5,6,Acura,RL,
Acura_TL,As,20,270,3.575,5,189.3,28,3,automatic,midsize,72.2,3.2,6,Acura,TL,39.7
Acura_TSX,As,23,200,3.318,5,183.3,32,3,automatic,compact,69.4,2.4,4,Acura,TSX,
Acura_RSX,As,25,160,2.771,4,172.2,34,3,automatic,subcompact,67.9,2,4,Acura,RSX,38.1
Acura_NSX,As,17,252,3.197,2,174.2,24,3,automatic,two_seater,71.3,3,6,Acura,NSX,38.1
Acura_MDX,As,17,265,4.451,7,188.7,23,3,automatic,suv4wd,77,3.5,6,Acura,MDX,38
Aston_Martin_V12_Vanquish,E,12,460,4.037,4,183.7,19,2,automatic,minicompact,75.7,5.9,12,Aston_Martin,V12_Vanquish,
Audi_A4_Quattro,E,20,170,3.55,5,179,28,2,automatic,compact,76.3,1.8,4,Audi,A4_Quattro,36.4
Audi_A6_Quattro,E,18,220,3.88,5,192,25,2,automatic,midsize,76.1,3,6,Audi,A6_Quattro,38.3
Audi_A8,E,17,330,4.399,5,204,24,2,automatic,large,74.6,4.2,6,Audi,A8,
Audi_Allroad_Quattro,E,16,250,4.244,5,189.4,22,2,automatic,suv4wd,76.1,2.7,6,Audi,Allroad_Quattro,
Audi_S4,E,18,340,3.925,5,179,24,2,automatic,compact,69.5,4.2,8,Audi,S4,36.4
Audi_TT,E,20,180,3.131,2,159.1,28,2,automatic,two_seater,73.1,1.8,4,Audi,TT,34.2
Bentley_ArnageT,E,10,450,5.699,5,212.6,14,2,automatic,large,76.1,6.8,8,Bentley,ArnageT,
Bentley_ContinentalGT,E,11,552,5.313,4,189.2,18,2,automatic,compact,75.5,6,12,Bentley,ContinentalGT,37.4
BMW_325i,E,19,184,3.307,5,176,27,2,automatic,compact,68.5,2.5,6,BMW,325i,
BMW_525i,E,19,184,3.45,5,190.6,28,2,automatic,midsize,72.7,2.5,6,BMW,525i,
BMW_745i,E,18,325,4.376,5,198,26,2,automatic,large,74.8,4.4,8,BMW,745i,39.8
BMW_M3,E,16,333,3.415,5,176.8,24,2,manual,subcompact,70.1,3.2,6,BMW,M3,
BMW_X3,E,17,184,4.045,5,179.7,23,2,automatic,suv4wd,73,2.5,6,BMW,X3,
BMW_X5,E,16,225,4.696,5,183.7,21,2,automatic,suv4wd,73.7,3,6,BMW,X5,39.7
BMW_Z4,E,21,184,2.998,2,161.1,28,2,automatic,two_seater,70.1,2.5,6,BMW,Z4,
Buick_Century,Am,20,175,3.342,6,194.6,30,1,automatic,midsize,72.7,3.1,6,Buick,Century,
Buick_LeSabre,Am,20,205,3.567,5,200,29,1,automatic,large,73.5,3.8,6,Buick,LeSabre,
Buick_ParkAvenue,Am,20,205,3.778,5,206.8,29,1,automatic,large,74.7,3.8,6,Buick,ParkAvenue,
Buick_RainierCXL,Am,16,275,4.442,5,191.8,21,1,automatic,suv2wd,75.4,4.2,6,Buick,RainierCXL,
Buick_Regal,Am,20,200,3.418,5,196.2,30,1,automatic,midsize,72.7,3.8,6,Buick,Regal,
Buick_Rendevous,Am,19,185,4.096,5,186.5,26,1,automatic,suv2wd,73.6,3.4,6,Buick,Rendevous,
Cadillac_CTS,Am,18,220,3.568,5,190.1,25,1,automatic,midsize,70.6,3.2,6,Cadillac,CTS,
Cadillac_Deville,Am,18,275,3.978,6,207.2,26,1,automatic,large,74.5,4.6,8,Cadillac,Deville,40.2
Cadillac_Escalade,Am,14,295,5.367,7,198.9,18,1,automatic,suv2wd,78.9,5.3,8,Cadillac,Escalade,39.3
Cadillac_EscaladeESV,Am,13,345,5.82,7,221.4,17,1,automatic,suv4wd,79.5,6,8,Cadillac,EscaladeESV,43.3
Cadillac_Seville,Am,18,275,3.969,5,201,26,1,automatic,midsize,74.7,4.6,8,Cadillac,Seville,40.5
Cadillac_SRX,Am,16,260,4.225,5,194.9,23,1,automatic,suv2wd,72.6,3.6,6,Cadillac,SRX,
Cadillac_XLR,Am,17,320,3.647,2,177.7,25,1,automatic,two_seater,72.3,4.6,8,Cadillac,XLR,
Chevrolet_Astro,Am,16,190,4.323,7,189.8,20,1,automatic,passengervan,77.5,4.3,6,Chevrolet,Astro,40.5
Chevrolet_Avalanche,Am,15,295,5.478,6,221.6,20,1,automatic,suv2wd,79.8,5.3,8,Chevrolet,Avalanche,43.3
Chevrolet_Aveo,Am,26,103,2.464,5,166.7,34,1,automatic,compact,65.7,1.6,4,Chevrolet,Aveo,
Chevrolet_Blazer,Am,16,190,3.591,5,176.8,21,1,automatic,suv2wd,67.8,4.3,6,Chevrolet,Blazer,35.2
Chevrolet_Cavalier,Am,24,140,2.676,5,180.9,34,1,automatic,compact,67.9,2.2,4,Chevrolet,Cavalier,35.6
Chevrolet_Corvette,Am,18,350,3.214,2,179.7,25,1,automatic,two_seater,73.6,5.7,8,Chevrolet,Corvette,39.4
Chevrolet_Express,Am,15,195,5.295,8,224.1,20,1,automatic,passengervan,79.4,4.3,6,Chevrolet,Express,43.4
Chevrolet_Impala,Am,21,180,3.465,5,200,32,1,automatic,large,73,3.4,6,Chevrolet,Impala,39.6
Chevrolet_Malibu,Am,24,145,3.174,5,188.3,34,1,automatic,midsize,69.9,2.2,4,Chevrolet,Malibu,38
Chevrolet_MonteCarlo,Am,20,200,3.395,5,197.9,30,1,automatic,midsize,72.3,3.8,6,Chevrolet,MonteCarlo,38
Chevrolet_Suburban,Am,15,295,5.323,8,219.3,20,1,automatic,suv2wd,78.9,5.3,8,Chevrolet,Suburban,43
Chevrolet_Tahoe,Am,16,285,5.037,8,198.8,19,1,automatic,suv2wd,78.8,4.8,8,Chevrolet,Tahoe,38.3
Chevrolet_Tracker,Am,19,165,2.866,5,162.6,22,1,automatic,suv2wd,67.3,2.5,6,Chevrolet,Tracker,38.4
Chevrolet_TrailBlazer,Am,16,275,4.425,8,191.8,21,1,automatic,suv2wd,74.7,4.2,6,Chevrolet,TrailBlazer,36.4
Chevrolet_Venture,Am,19,185,3.699,7,186.9,26,1,automatic,minivan2wd,72,3.4,6,Chevrolet,Venture,37.4
Chrysler_300M,Am,18,250,3.581,5,197.8,27,1,automatic,large,74.4,3.5,6,Chrysler,300M,
Chrysler_Concorde,Am,19,250,3.567,5,207.7,27,1,automatic,large,74.4,3.5,6,Chrysler,Concorde,37.6
Chrysler_Crossfire,Am,21,215,3.084,2,159.8,28,1,automatic,two_seater,69.5,3.2,6,Chrysler,Crossfire,32.9
Chrysler_Pacifica,Am,17,250,4.43,6,198.9,23,1,automatic,suv2wd,79.3,3.5,6,Chrysler,Pacifica,39.8
Chrysler_PTCruiser,Am,21,150,3.039,5,168.8,26,1,automatic,suv2wd,67.1,2.4,4,Chrysler,PTCruiser,36.5
Chrysler_Sebring,Am,22,150,3.273,5,190.7,30,1,automatic,midsize,70.6,2.4,4,Chrysler,Sebring,36.8
Chrysler_Town&Country,Am,19,180,3.988,7,189.3,26,1,automatic,minivan2wd,78.6,3.3,6,Chrysler,Town&Country,37.6
Dodge_CaravanSE,Am,20,150,3.862,7,189.3,26,1,automatic,minivan2wd,78.6,2.4,4,Dodge,CaravanSE,37.6
Dodge_DurangoSLT,Am,16,215,4.765,7,200.8,21,1,automatic,suv2wd,71.3,3.7,6,Dodge,DurangoSLT,37.5
Dodge_IntrepidSE,Am,21,200,3.469,5,203.7,29,1,automatic,large,74.7,2.7,6,Dodge,IntrepidSE,37.6
Dodge_Neon,Am,25,132,2.635,5,174.8,32,1,automatic,compact,67.4,2,4,Dodge,Neon,35.7
Dodge_SRT-4,Am,22,220,2.97,5,175.7,30,1,manual,compact,67.4,2.4,4,Dodge,SRT-4,41
Dodge_StratusSXT,Am,22,150,3.245,5,191.2,30,1,automatic,midsize,70.6,2.4,4,Dodge,StratusSXT,36.8
Dodge_Viper,Am,12,500,3.38,2,175.5,20,1,manual,two_seater,75.2,8.3,10,Dodge,Viper,40.5
Ferrari_360_Modena,E,11,400,3.064,2,176.3,16,2,automatic,two_seater,75.7,3.6,8,Ferrari,360_Modena,35.4
Ferrari_575M_Maranello,E,10,515,3.815,2,179.1,17,2,automatic,two_seater,76.2,5.7,12,Ferrari,575M_Maranello,39.3
Ford_Crown_Victoria_LXSport,Am,17,239,4.057,5,212,25,1,automatic,large,78.2,4.6,8,Ford,Crown_Victoria_LXSport,40.3
Ford_ExplorerXLS,Am,16,210,4.304,5,189.5,21,1,automatic,suv2wd,72.1,4,6,Ford,ExplorerXLS,36.8
Ford_Expedition_XLT,Am,15,232,5.218,8,205.8,19,1,automatic,suv2wd,78.7,4.6,8,Ford,ExpeditionXLT,38.7
Ford_FocusZTS,Am,24,144,2.606,5,168.1,30,1,automatic,compact,66.9,2.3,4,Ford,FocusZTS,34.3
Ford_Freestar_WagonSE,Am,17,193,4.275,7,201,23,1,automatic,minivan2wd,76.6,3.9,6,Ford,Freestar_WagonSE,39.5
Ford_Mustang,Am,19,190,3.29,4,183.2,27,1,automatic,subcompact,73.1,3.8,6,Ford,Mustang,37.1
Ford_TaurusLX,Am,20,155,3.306,6,197.6,27,1,automatic,large,73,3,6,Ford,TaurusLX,39.7
Ford_Thunderbird,Am,17,280,3.863,2,186.3,23,1,automatic,two_seater,72,3.9,8,Ford,Thunderbird,35.9
GMC_Envoy,Am,16,275,4.432,5,191.6,21,1,automatic,suv2wd,74.7,4.2,6,GMC,Envoy,36.4
GMC_Safari,Am,16,190,4.605,7,189.8,20,1,automatic,passengervan,77.5,4.3,6,GMC,Safari,40.5
GMC_Savana,Am,15,285,5.245,8,224.1,20,1,automatic,passengervan,79.4,5.3,8,GMC,Savana,43.4
GMC_Yukon,Am,16,285,5.037,8,198.9,19,1,automatic,suv2wd,78.9,4.8,8,GMC,Yukon,38.3
Honda_AccordLX,As,24,160,3.164,5,189.5,34,3,automatic,midsize,71.5,2.4,4,Honda,AccordLX,36.1
Honda_Civic_Hybrid,As,47,85,2.736,5,175.4,48,3,cont_variable,compact,67.5,1.3,4,Honda,Civic_Hybrid,34.8
Honda_CivicLX,As,29,115,2.56,5,175.4,38,3,automatic,compact,67.5,1.7,4,Honda,CivicLX,35.4
Honda_CR-V,As,23,160,3.201,5,178.6,29,3,automatic,suv2wd,70.2,2.4,4,Honda,CR-V,34.1
Honda_Element,As,22,160,3.389,4,169.3,26,3,automatic,suv2wd,71.5,2.4,4,Honda,Element,34.9
Honda_Insight,As,57,65,1.975,2,155.1,56,3,cont_variable,two_seater,66.7,1,3,Honda,Insight,31.5
Honda_OdysseyLX,As,18,240,4.31,7,201.2,25,3,automatic,minivan2wd,75.6,3.5,6,Honda,OdysseyLX,37.7
Honda_PilotLX,As,17,240,4.387,8,188,22,3,automatic,suv4wd,77.3,3.5,6,Honda,PilotLX,38
Honda_S2000,As,20,240,2.835,2,162.2,25,3,manual,two_seater,68.9,2.2,4,Honda,S2000,35.4
Hyundai_AccentGL,As,26,103,2.339,5,166.7,35,3,automatic,compact,65.7,1.6,4,Hyundai,AccentGL,32.5
Hyundai_Elantra,As,24,132,2.698,5,178.1,32,3,automatic,compact,67.9,2,4,Hyundai,Elantra,32.5
Hyundai_SantaFe,As,20,138,3.574,5,177.2,27,3,automatic,suv2wd,72.7,2.4,4,Hyundai,SantaFe,37.1
Hyundai_Sonata,As,22,138,3.217,5,186.9,30,3,automatic,midsize,71.7,2.4,4,Hyundai,Sonata,34.4
Hyundai_Tiburon,As,23,138,2.997,5,173,29,3,automatic,subcompact,69.3,2,4,Hyundai,Tiburon,
Hyundai_XG350,As,17,194,3.651,5,191.9,26,3,automatic,midsize,71.9,3.5,6,Hyundai,XG350,36.1
Infiniti_FX35,As,17,280,4.061,5,189.1,23,3,automatic,suv2wd,75.8,3.5,6,Infiniti,FX35,38.7
Infiniti_G35,As,18,260,3.336,5,186.5,26,3,automatic,compact,69,3.5,6,Infiniti,G35,36
Infiniti_I35,As,19,255,3.306,5,193.7,26,3,automatic,midsize,70.2,3.5,6,Infiniti,I35,40
Infiniti_M45,As,17,340,3.851,5,197.2,23,3,automatic,compact,69.7,4.5,8,Infiniti,M45,40
Infiniti_Q45,As,17,340,3.977,5,199.6,23,3,automatic,midsize,72.6,4.5,8,Infiniti,Q45,36.1
Infiniti_QX56,As,13,315,5.36,7,206.9,19,3,automatic,suv2wd,78.8,5.6,8,Infiniti,QX56,41
Isuzu_Ascender_5pass,As,16,275,4.425,5,191.6,21,3,automatic,suv2wd,76.1,4.2,6,Isuzu,Ascender5pass,36.4
Isuzu_Ascender_7pass,As,16,290,4.835,7,207.6,19,3,automatic,suv2wd,76.1,5.3,8,Isuzu,Ascender7pass,41.3
Isuzu_Axiom,As,18,250,4.004,5,182.6,23,3,automatic,suv2wd,70.7,3.5,6,Isuzu,Axiom,38.4
Isuzu_Rodeo,As,18,205,3.934,5,177.5,23,3,automatic,suv2wd,70.4,3.2,6,Isuzu,Rodeo,38.4
Jaguar_S-Type,E,18,235,3.777,5,192,26,2,automatic,midsize,71.6,3,6,Jaguar,S-Type,37.8
Jaguar_XJ8,E,18,294,3.766,5,200.4,28,2,automatic,large,73.2,4.2,8,Jaguar,XJ8,38.5
Jaguar_XK8,E,18,294,3.779,4,187.4,26,2,automatic,subcompact,70.8,4.2,8,Jaguar,XK8,
Jaguar_XKR,E,16,390,3.865,4,188,23,2,automatic,subcompact,70.8,4.2,8,Jaguar,XKR,
Jaguar_X-Type,E,18,192,3.554,5,183.9,26,2,automatic,compact,70.4,2.5,6,Jaguar,X-Type,35.7
Jeep_Grand_Cherokee_Laredo,Am,16,195,3.789,5,181.5,21,1,automatic,suv2wd,72.3,4,6,Jeep,Grand_Cherokee_Laredo,37.4
Jeep_Liberty_Sport,Am,19,147,3.666,5,174.7,24,1,manual,suv2wd,71.6,2.4,4,Jeep,Liberty_Sport,35.9
Jeep_WranglerSE,Am,18,147,3.268,4,155.4,20,1,automatic,suv4wd,66.7,2.4,4,Jeep,WranglerSE,33.5
Kia_Amanti,As,17,200,4.021,5,196,25,3,automatic,large,72.8,3.5,6,Kia,Amanti,37.4
Kia_Optima,As,22,138,3.301,5,185.8,30,3,automatic,midsize,71.5,2.4,4,Kia,Optima,34.1
Kia_Rio,As,25,104,2.458,5,166.9,32,3,automatic,compact,65.9,1.6,4,Kia,Rio,30.8
Kia_Sedona,As,16,195,4.802,7,194.1,22,3,automatic,minivan2wd,74.6,3.5,6,Kia,Sedona,41.1
Kia_Sorento,As,16,192,4.191,5,179.8,19,3,automatic,suv2wd,73.3,3.5,6,Kia,Sorento,36.4
Kia_Spectra,As,22,124,2.717,5,177.6,30,3,automatic,compact,67.7,1.8,4,Kia,Spectra,32.2
Lamborghini_Gallardo,E,10,500,3.15,2,169.3,17,2,automatic,two_seater,74.8,5,10,Lamborghini,Gallardo,37.7
Lamborghini_Murcielago,E,10,580,3.635,2,180.3,15,2,automatic,two_seater,80.5,6.2,12,Lamborghini,Murcielago,41.2
Land_Rover_DiscoveryS,E,12,217,4.576,5,185.2,16,2,automatic,suv4wd,74.4,4.6,8,Land_Rover,DiscoveryS,40.7
Land_Rover_FreelanderSE,E,17,174,3.488,5,174.1,21,2,automatic,suv4wd,71.2,2.5,6,Land_Rover,FreelanderSE,38
Land_Rover_Range_Rover,E,12,282,5.379,5,195,16,2,automatic,suv4wd,75.7,4.4,8,Land_Rover,Range_Rover,38
Lexus_ES,As,20,225,3.46,5,191.1,29,3,automatic,midsize,71.3,3.3,6,Lexus,ES,
Lexus_GS430,As,18,300,3.715,5,189.2,23,3,automatic,midsize,70.9,4.3,8,Lexus,GS430,
Lexus_GX,As,15,235,4.74,5,188.2,19,3,automatic,suv4wd,74,4.7,8,Lexus,GX,
Lexus_IS,As,18,215,3.285,5,176.6,24,3,automatic,compact,67.9,3,6,Lexus,IS,
Lexus_LS430,As,18,290,3.99,5,197.4,25,3,automatic,large,72,4.3,8,Lexus,LS430,
Lexus_LX,As,13,235,5.59,8,192.5,17,3,automatic,suv4wd,76.4,4.7,8,Lexus,LX,
Lexus_RX,As,20,230,3.86,5,186.2,26,3,automatic,suv2wd,72.6,3.3,6,Lexus,RX,
Lexus_SC,As,18,300,3.84,4,177.8,23,3,automatic,minicompact,72,4.3,8,Lexus,SC,
Lincoln_Aviator,As,13,302,4.818,6,193.3,18,1,automatic,suv2wd,76,4.6,8,Lincoln,Aviator,40.5
Lincoln_LS,As,20,232,3.72,5,194.3,26,1,automatic,midsize,73.2,3,6,Lincoln,LS,38.1
Lincoln_Navigator,As,13,300,5.686,7,206,18,1,automatic,suv2wd,80.2,5.4,8,Lincoln,Navigator,38.7
Lincoln_TownCar,As,17,239,4.359,6,215.4,25,1,automatic,large,78.2,4.6,8,Lincoln,TownCar,40
Lotus_Esprit,E,15,350,3.043,2,172,22,2,manual,two_seater,74.1,3.5,8,Lotus,Esprit,34.3
Maserati_Spyder_Cambiocorsa,E,11,390,3.59,2,169.4,17,2,automatic,two_seater,71.7,4.2,8,Maserati,Spyder_Cambiocorsa,
Mazda_3,As,26,148,2.738,5,178.3,34,3,automatic,compact,69.1,2,4,Mazda,3,34.1
Mazda_6,As,22,160,3.093,5,186.8,28,3,automatic,midsize,70.1,2.3,4,Mazda,6,38.7
Mazda_MPV_LX,As,18,200,3.772,7,189.5,25,3,automatic,minivan2wd,72.1,3,6,Mazda,MPVLX,37.4
Mazda_MX-5_Miata,As,22,142,2.473,2,155.3,28,3,automatic,two_seater,66.1,1.8,4,Mazda,MX-5_Miata,30.2
Mazda_RX-8,As,18,197,3.053,4,174.3,24,3,automatic,subcompact,69.7,1.3,2,Mazda,RX-8,34.8
Mazda_Tribute,As,19,201,3.292,5,173,25,3,automatic,suv2wd,71.9,3,6,Mazda,Tribute,36.8
Mercedes-Benz_CL600,E,13,493,4.473,4,196.4,19,2,automatic,compact,73.1,5.5,12,Mercedes-Benz,CL600,37.6
Mercedes-Benz_CLK320,E,20,215,3.515,4,182.6,26,2,automatic,subcompact,68.5,3.2,6,Mercedes-Benz,CLK320,35.3
