"Name","State","Schooltype","All.test.std","App.accept","Acc.Rate","Pct.Yield","Total.students","Student.Faculty","Grad.rate","Pct.fac.degree","In.Tuition","Room.board"
"Alaska Pacific University","AK",2,-0.497210757,146,75.64766839,37.67123288,1118,11.9,15,72,7560,4120
"Alabama Agri. & Mech. Univ.","AL",1,-2.059753548,1920,68.15761448,51.25,4263,14.3,40,53,1700,2550
"Faulkner University","AL",2,-0.890258356,320,92.75362319,55.9375,1945,32.8,55,56,5600,3250
"University of Montevallo","AL",1,-0.500426626,892,66.02516654,63.90134529,2716,18.9,51,72,2220,3030
"Auburn University-Main Campus","AL",1,0.684233313,6791,89.97085321,45.20689147,17978,16.7,69,91,2100,3933
"Birmingham-Southern College","AL",2,1.166783646,588,73.04347826,48.80952381,1583,14,72,79,11660,4325
"Huntingdon College","AL",2,0.037314263,520,85.52631579,24.42307692,664,11.4,44,72,8080,3920
"Jacksonville State University","AL",1,-0.890258356,1413,86.84695759,62.77423921,6635,20.1,33,67,1740,2600
"Judson College","AL",2,-0.110594895,228,72.84345048,60.0877193,619,17.9,43,70,5780,3600
"Livingston University","AL",1,-1.280090087,957,79.35323383,46.39498433,1759,18.8,36,58,1740,2449
"University of Mobile","AL",2,-0.110594895,331,73.2300885,81.26888218,1718,16.6,52,63,6150,3680
"Samford University","AL",2,0.343976753,1395,83.03571429,49.53405018,3361,14.7,61,75,8236,3700
"Spring Hill College","AL",2,0.351991656,694,89.78007762,33.14121037,1166,14.4,70,89,11478,4788
"Troy State University at Troy","AL",1,-0.466304556,1281,87.08361659,64.32474629,5333,23,48,50,1697,2570
"University of Alabama at Tuscaloosa","AL",1,0.279236835,5972,78.65138944,44.90957803,15379,17.3,50,91,2172,3530
"University of Alabama at Birmingham","AL",1,-0.500426626,1260,70.11686144,74.44444444,11658,6.7,33,96,2220,5175
"University of Alabama at Huntsville","AL",1,0.429257157,957,69.5494186,46.49947753,6121,12.7,38,88,2480,3500
"University of South Alabama","AL",1,0.279236835,2110,90.63573883,49.62085308,10459,13.3,43,80,2208,2850
"Auburn University at Montgomery","AL",1,-0.500426626,868,88.12182741,74.30875576,5406,18.1,42,76,1905,4430
"Arkansas College (Lyon College)","AR",2,1.058900296,334,47.17514124,49.7005988,712,12.6,54,88,8644,3922
"Arkansas Tech University","AR",1,-0.500426626,1729,99.71164937,55.00289184,4541,19.6,48,60,1730,2650
"Arkansas State University","AR",1,-0.500426626,2633,97.95386905,56.51348272,8919,20,39,73,1800,2580
"University of Central Arkansas","AR",1,-0.110594895,2703,86.33024593,66.29670736,8521,20.5,36,72,1700,2600
"Hendrix College","AR",2,1.12428762,721,87.60631835,38.00277393,960,13.1,63,99,8800,3195
"John Brown University","AR",2,0.168665616,405,66.94214876,70.12345679,1060,13.3,75,68,6398,3672
"University of Arkansas at Little Rock","AR",1,-1.280090087,1322,74.85843715,90.31770045,9811,14.7,19,77,2136,2435
"Harding University","AR",2,0.467889908,1068,62.05694364,75.46816479,3341,17.7,73,77,5504,3528
"Grand Canyon University","AZ",2,-0.28508968,393,79.07444668,43.00254453,1818,14.2,81,60,6870,3100
"Arizona State University Main campus","AZ",1,0.095263389,10308,80.47466625,36.48622429,30178,18.9,48,93,1828,4850
