"county","state","total_votes_12","dem12_frac","rep12_frac","total_population","registered_voters","reg_vote_frac","turnout","hs_diploma_degree","median_income","poverty_frac","caucasian_frac","gini_coefficient","median_age","adult_smoking","uninsured","unemployment","violent_crime","homicide_rate","infant_mortality","african_american_frac","latino_frac","bachelors_degree","graduate_degree","competitive_state_08","margin_state_08"
"Alameda","California",595642,0.788534052333449,0.181622518224034,1483683,810836,0.546502184091885,0.734602311688184,0.859,"High",0.1115,0.356,0.456,36.2,0.106,0.148,0.09,719.29,9.69,4.6,0.124,0.219,0.403,0.163,FALSE,0.240577795146698
"Alpine","California",653,0.595712098009188,0.361408882082695,1164,773,0.664089347079038,0.844760672703752,0.921,"High",0.1265,0.717,0.449,40.9,0.1758,0.175,0.133,880.54,12.282,9.18,0,0.047,0.297,0.133,FALSE,0.240577795146698
"Amador","California",17649,0.386990764349255,0.582525922148564,38065,21503,0.564902141074478,0.820769194996047,0.874,"High",0.0845,0.801,0.399,47.2,0.212,0.151,0.118,273.69,3.488,5.64,0.0235,0.1155,0.19,0.058,FALSE,0.240577795146698
"Butte","California",90752,0.470171456276446,0.490115920310296,218958.5,122554,0.559713370341868,0.740506225826982,0.857,"Low",0.1835,0.7605,0.449,37.2,0.192,0.198,0.122,341.84,4.14,6.8,0.0145,0.1345,0.241,0.081,FALSE,0.240577795146698
"Calaveras","California",21786,0.397961993941063,0.56756632699899,46063,29014,0.629876473525389,0.750878886055008,0.907,"High",0.09,0.8355,0.412,48.5,0.191,0.155,0.13,213.5,3.44,6.94,0.011,0.1005,0.196,0.066,FALSE,0.240577795146698
"Colusa","California",6034,0.383493536625787,0.596784885647995,21210,7765,0.366100895803866,0.777076625885383,0.705,"Low",0.1535,0.415,0.429,34,0.1896,0.243,0.2,237.2,12.484,7.6,0.0095,0.5295,0.117,0.029,FALSE,0.240577795146698
"Contra Costa","California",438226,0.663639309397434,0.31152190878679,1032298,556351,0.538944180847003,0.787679001206073,0.884,"High",0.088,0.495,0.453,38.1,0.116,0.137,0.09,397.73,9.01,4.1,0.0895,0.2335,0.382,0.137,FALSE,0.240577795146698
"Del Norte","California",8770,0.432269099201824,0.526111744583808,28669.5,12516,0.436561502642181,0.700703100031959,0.813,"Medium",0.207,0.6605,0.448,37.9,0.203,0.173,0.134,436.93,8.56,8.44,0.034,0.1695,0.143,0.043,FALSE,0.240577795146698
"El Dorado","California",88774,0.396129497375358,0.574188388492126,178499.5,110634,0.61980005546234,0.802411555218107,0.927,"High",0.078,0.803,0.421,42.6,0.143,0.133,0.104,257.4,2.58,4.1,0.0055,0.118,0.311,0.101,FALSE,0.240577795146698
"Fresno","California",258827,0.498900810193681,0.480977641436172,910600,410188,0.450459037996925,0.630996031088184,0.731,"Medium",0.217,0.3415,0.459,30.4,0.139,0.224,0.152,535.22,8.18,6.9,0.0485,0.492,0.197,0.063,FALSE,0.240577795146698
"Glenn","California",9211,0.358375854956031,0.61144284008251,28006.5,12542,0.44782461214361,0.734412374421942,0.739,"Low",0.1765,0.5685,0.436,35.1,0.15,0.236,0.147,226.1,6.726,8.02,0.007,0.3605,0.162,0.043,FALSE,0.240577795146698
"Humboldt","California",57470,0.59956499042979,0.32756220636854,131813,80038,0.607208697169475,0.718033933881406,0.904,"Low",0.1795,0.7815,0.473,37.1,0.186,0.204,0.105,377.81,4.21,6.8,0.01,0.0905,0.263,0.086,FALSE,0.240577795146698
