"Country","Continent","LE","Year","Population","Urban.pop","GDP","Household.consump","Unemployment","Forest.area","Arable.land","Water","Food.prod.index","Health.expend","Immunization","Sanitation.faci","Immunization.measles","Health.exp.pocket","Fixed.tel","Mobile.cel","Internet.users"
"Solomon Islands","Oceania",65.94,2006,17.17,18.26,950.06,5.72811729967099,3.8,79.86,0.03,80.1,105.39,6.21,99,27.1,99,3.9,1.58,1.46,1.65
"Comoros","Africa",59.52,2007,348.95,27.85,712.12,6.15581305191169,6.6,21.92,0.1,90.1,101.99,2.79,75,30.4,65,43.3,4.11,9.82,2.5
"Comoros","Africa",58.58,2003,316.77,27.95,538.7,5.6317134480805,6.7,23.21,0.11,90.1,98.65,1.78,80,27.4,67,50.8,2.32,0.35,0.85
"Qatar","Asia",77.71,2007,101.55,98.02,67612.49,9.52235962800727,0.5,0,0.01,99.9,114.51,1.94,94,98.6,92,15.97,20.6,109.7,37
"Macedonia, FYR","Europe",75.03,2012,82.05,56.96,4709.51,8.88195713103772,31,39.57,0.2,99.4,112.71,4.5,95,91,96,34.69,19.39,106.17,57.45
"United States","North America",78.74,2012,34.34,81.11,51456.66,16.2187126519181,8.2,33.81,0.49,99.1,109.06,8.01,96,100,92,11.87,43.65,96.01,79.3
"Austria","Europe",80.94,2012,102.13,65.86,48324.25,12.2945440395094,4.3,46.81,0.16,100,102.54,8.42,83,100,76,15.71,39.93,160.54,80.03
"Albania","Europe",76.63,2008,107.57,49.99,4370.54,9.24897437458695,13,28.42,0.21,95.8,107.74,2.69,99,89.6,98,51.67,10.88,58.91,23.86
"Montenegro","Europe",74.65,2012,46.14,63.46,6586.72,8.12628166431558,19.6,61.49,0.28,99.3,90.04,4.47,94,94.6,90,38.29,27.34,159.54,56.84
"Czech Republic","Europe",78.08,2012,136.1,73.12,19640.93,11.533233258766,7,34.46,0.3,100,89.2,6.34,99,99.1,98,15.03,19.86,126.85,73.43
"Luxembourg","Europe",79.38,2007,185.33,87.41,104841.44,9.7136838743524,4.1,33.47,0.13,100,97.28,5.82,99,97.6,96,9.49,52.11,143.71,78.92
"Netherlands","Europe",79.1,2004,482.28,81.51,39954.64,12.6709453214194,4.6,10.78,0.07,100,100.45,5.96,98,97.9,96,7.16,48.46,91.24,68.52
"Portugal","Europe",78.32,2007,115.26,58.75,22780.06,11.9553198166656,8,35.78,0.1,99.1,95.08,6.66,97,98.2,95,25.46,39.82,127.68,42.09
"Bahrain","Asia",75.14,2003,1057.77,88.38,14541.62,8.46644711569829,4.1,0.58,0,100,102.39,2.5,97,99.2,99,22.27,24.06,57.39,21.55
"Trinidad and Tobago","North America",69.48,2009,257.63,9.25,14508.79,9.28897038996567,5.3,44.27,0.02,94.8,90.45,2.94,90,91.4,94,43.48,22.93,139.61,44.3
"Trinidad and Tobago","North America",69.36,2008,256.41,9.41,21188.09,9.43044571259889,4.6,44.41,0.02,94.6,86.25,2.13,90,91.3,91,41.62,23.91,137.2,34.8
"Timor-Leste","Asia",64.83,2008,69.31,28.2,673.37,6.2363695902037,5.9,51.41,0.16,65.2,112.72,1.08,79,38.5,73,3.03,0.25,11.9,0.16
"Gambia, The","Africa",55.82,2002,129.22,49.68,442.19,6.23358685701997,7.3,45.95,0.21,84,68.43,1.41,87,59.5,90,33.56,2.93,7.65,1.8
"Gambia, The","Africa",55.5,2001,125.21,48.78,542.5,6.31909423191933,7.2,45.75,0.24,83.3,107.04,1.55,87,59.6,89,31.16,2.77,4.35,1.34
"Equatorial Guinea","Africa",50.4,2008,24.46,39.04,23347.66,7.4817190688461,6.8,58.81,0.19,47.4,109.31,1.8,42,76.7,51,17.8,1.52,27.35,1.82
"Chad","Africa",48.86,2008,8.85,21.9,929.28,8.84078569639072,7.1,4.58,0.39,48.7,104.55,1,19,11.2,27,66.74,0.41,14.51,1.19
"Equatorial Guinea","Africa",48.19,2003,20.92,38.8,4234.6,7.07718576852641,6.7,60.9,0.22,47.3,91.96,1.53,37,78.9,51,26.52,1.69,7.3,0.52
"Angola","Africa",47.39,2003,13.39,34.65,1067.18,8.94260732133314,6.9,47.61,0.2,45.8,86.99,2.11,46,36.2,62,46.87,0.55,2.27,0.37
"Congo, Dem. Rep.","Africa",47.02,2002,22.48,36.06,171.23,8.9077585136349,8.2,69.09,0.13,47.9,98.15,0.16,38,23.5,42,70.82,0.02,1.13,0.09
"Netherlands","Europe",79.7,2006,484.19,83.64,44453.97,12.7275340087675,3.9,10.86,0.07,100,100.13,8.41,96,97.9,95,6.22,45.49,105.62,83.7
"Qatar","Asia",77.32,2004,63.06,97.11,43346.86,8.61976963513988,1.5,0,0.02,99.6,102.53,3.04,96,98.9,99,15.79,26.5,68.07,20.7
"Chad","Africa",50.7,2012,10.1,22.13,972.68,9.00224059353152,7,4.17,0.39,50.7,124.85,1.36,45,12,64,59.81,0.22,35.36,2.1
"Australia","Oceania",82.05,2012,2.96,89.02,67646.1,13.6245113227913,5.2,16.12,2.07,100,119.54,6.28,92,100,94,18.74,45.43,105.59,79
"Netherlands","Europe",81.1,2012,496.88,88.58,49474.71,12.8274459125166,5.3,11.1,0.06,100,111.06,10.09,97,97.8,96,5.53,42.97,117.97,92.86
"Germany","Europe",80.89,2012,230.75,74.69,44010.93,14.4939292295882,5.4,32.75,0.15,100,106.96,8.64,96,99.2,97,13.03,60.51,111.59,82.35
"Bangladesh","Asia",70.29,2012,1192.73,31.99,858.93,11.5062175169081,4.5,11.04,0.05,84.8,132.84,1.13,95,57.7,89,63.31,0.62,62.82,5
"United Kingdom","Europe",80.9,2012,263.3,81.83,41294.51,14.3520534886542,8,12.78,0.1,100,98.89,7.79,95,99.2,92,9.04,52.88,124.76,87.48
"Portugal","Europe",80.37,2012,114.8,61.76,20577.4,11.8734186601013,15.6,35.12,0.11,99.9,100.12,6.36,98,99.5,97,27.4,42.99,112.39,60.34
"Comoros","Africa",58.82,2004,324.49,27.9,609.64,5.83994373946674,6.7,22.89,0.11,90.1,102.21,2.04,76,28.1,76,48.44,2.58,1.43,1.33
"Mongolia","Asia",67.34,2012,1.81,69.47,4377.24,8.78224307714165,5,8.27,0.23,63.7,131.17,3.95,99,57.9,99,34.62,6.32,120.69,16.4
"Albania","Europe",75.84,2004,110.47,45.65,2416.59,8.59938313059884,12.6,28.46,0.19,96.1,99.74,2.68,97,86.6,96,53.8,8.54,39.16,2.42
"Bahamas, The","North America",74.06,2007,34.19,82.39,24306.14,8.63056116166586,7.9,51.45,0.02,97.6,107.23,3.18,95,90.6,96,29.71,38.84,109.34,27
"Bahamas, The","North America",73.86,2006,33.55,82.33,23721.16,8.60545678405649,7.6,51.45,0.02,97.5,101.76,3.27,95,90.3,88,27.3,39.2,75.38,26
"Trinidad and Tobago","North America",68.72,2002,249.09,10.42,7049.61,8.56480361234314,10.4,45.26,0.02,93.6,118.38,2.65,96,90.8,87,40.88,24.9,20.57,22
"Angola","Africa",49.44,2007,15.39,37.72,3402.15,9.91443688916731,6.7,47.21,0.18,46.4,117.14,2.21,83,41.8,88,26.94,0.53,28.01,3.2
"Qatar","Asia",78,2009,137.05,98.47,61463.9,9.84441407082961,0.3,0,0.01,100,116.75,2.07,99,98.4,99,15.82,18.41,124.6,53.1
"Mozambique","Africa",47.66,2003,25.34,29.64,280.87,8.4343049390177,22.7,51.53,0.23,43.3,99.73,4.11,85,15.5,80,11.7,0.39,2.19,0.42
"Angola","Africa",45.97,2001,12.48,33.15,574.19,8.60276703565059,6.9,47.81,0.19,45.7,71.3,2.81,42,33.5,72,42.97,0.53,0.52,0.14
"China","Asia",75.2,2012,143.87,51.89,6264.64,14.9453843408657,4.5,21.7,0.08,93.2,127.64,3.03,99,73.1,99,34.34,20.2,80.76,42.3
"Montenegro","Europe",74.27,2009,45.97,62.92,6698.08,8.15430469758237,19.1,58.5,0.28,98.7,93,3.61,92,93,86,40.51,27.73,208.94,35.1
"Honduras","North America",70.7,2001,56.94,45.96,1187.59,8.60978148843807,4.1,56.06,0.17,81.5,73.38,3.62,96,64.7,99,45.29,4.87,3.73,1.42
